Date,AAPL,AMZN,BND,GOOGL,GS,JPM,MSFT,NFLX,TSLA,VOO
2023-11-21,190.3970489501953,143.89999389648438,70.23483276367188,136.97000122070312,332.2418212890625,152.0325164794922,372.3813781738281,474.95001220703125,241.1999969482422,414.6287841796875
2023-11-22,191.06619262695312,146.7100067138672,70.29431915283203,138.49000549316406,335.8819274902344,152.3903045654297,377.1525573730469,478.0,234.2100067138672,416.4214172363281
2023-11-24,189.7279052734375,146.74000549316406,69.95722198486328,136.69000244140625,336.38775634765625,152.59901428222656,376.7333068847656,479.55999755859375,235.4499969482422,416.65045166015625
2023-11-27,189.54812622070312,147.72999572753906,70.38355255126953,136.41000366210938,334.9595031738281,152.2511749267578,377.9111328125,479.1700134277344,236.0800018310547,415.9234619140625
2023-11-28,190.1573486328125,147.02999877929688,70.68098449707031,137.1999969482422,334.8999938964844,152.59901428222656,381.9936218261719,479.0,246.72000122070312,416.3317565917969
2023-11-29,189.128662109375,146.32000732421875,71.04783630371094,134.99000549316406,340.260009765625,153.37425231933594,378.15069580078125,477.19000244140625,244.13999938964844,416.0628967285156
2023-11-30,189.70791625976562,146.08999633789062,70.8198013305664,132.52999877929688,341.5400085449219,155.1234588623047,378.2106018066406,473.9700012207031,240.0800018310547,417.67620849609375
2023-12-01,190.9962921142578,147.02999877929688,71.39745330810547,131.86000061035156,348.42999267578125,155.87879943847656,373.8187255859375,465.739990234375,238.8300018310547,420.1260986328125
2023-12-04,189.18858337402344,144.83999633789062,71.10912322998047,129.27000427246094,349.3900146484375,157.02175903320312,368.4586486816406,453.8999938964844,235.5800018310547,418.01483154296875
2023-12-05,193.1735076904297,146.8800048828125,71.56648254394531,130.99000549316406,341.75,157.0018768310547,371.8323669433594,455.1499938964844,238.72000122070312,417.8853454589844
2023-12-06,192.07492065429688,144.52000427246094,71.77527618408203,130.02000427246094,341.9700012207031,155.35205078125,368.1192321777344,446.7300109863281,239.3699951171875,416.1425476074219
2023-12-07,194.02243041992188,146.8800048828125,71.75538635253906,136.92999267578125,344.6199951171875,155.8291015625,370.2652893066406,452.0,242.63999938964844,419.39910888671875
2023-12-08,195.46058654785156,147.4199981689453,71.40740203857422,134.99000549316406,350.8299865722656,157.5485076904297,373.53924560546875,453.760009765625,243.83999633789062,421.1817626953125
2023-12-11,192.93380737304688,145.88999938964844,71.41734313964844,133.2899932861328,351.760009765625,158.1249542236328,370.6146240234375,459.8900146484375,239.74000549316406,422.81500244140625
2023-12-12,194.4618682861328,147.47999572753906,71.62613677978516,132.52000427246094,352.6099853515625,159.5362548828125,373.68896484375,463.0,237.00999450683594,424.9163513183594
2023-12-13,197.7077178955078,148.83999633789062,72.54084777832031,132.57000732421875,362.7300109863281,160.07293701171875,373.678955078125,479.9800109863281,239.2899932861328,430.7024841308594
2023-12-14,197.85752868652344,147.4199981689453,73.08769226074219,131.94000244140625,383.4700012207031,162.9849853515625,365.2545471191406,469.8299865722656,251.0500030517578,431.9672546386719
2023-12-15,197.31822204589844,149.97000122070312,72.97831726074219,132.60000610351562,380.510009765625,164.21737670898438,370.04571533203125,472.05999755859375,253.5,431.3099670410156
2023-12-18,195.64035034179688,154.07000732421875,72.82918548583984,135.8000030517578,376.3999938964844,165.21124267578125,371.9621276855469,486.1199951171875,252.0800018310547,433.7499084472656
